distrito,cargo,agrupacion_politica,lista,votos
Jujuy,Diputado nacional,MILES-MOV. INTEGRACIÃN LATINOAMERICANA DE EXPRESIÃN SOCIAL,JUJUY TIENE FUTURO CON PRINCIPIOS  Y VALORES,3318
Jujuy,Diputado nacional,UNION POR LA PATRIA,A-CELESTE Y BLANCA,23020
Jujuy,Diputado nacional,UNION POR LA PATRIA,B-UNIDAD RENOVADORA,37980
Jujuy,Diputado nacional,UNION POR LA PATRIA,C-UNION POR JUJUY,34204
Jujuy,Diputado nacional,CAMBIA JUJUY,A-SIGAMOS CAMBIANDO JUJUY,74977
Jujuy,Diputado nacional,CAMBIA JUJUY,B-LA FUERZA DEL CAMBIO,20752
Jujuy,Diputado nacional,CAMBIA JUJUY,C-UNIR AL CAMBIO,2193
Jujuy,Diputado nacional,HACEMOS POR NUESTRO PAIS,HACEMOS POR JUJUY,5596
Jujuy,Diputado nacional,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD ,A-UNIR Y FORTALECER LA IZQUIERDA,31958
Jujuy,Diputado nacional,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD ,B-UNIDAD DE LUCHADORES Y LA IZQUIERDA,7799
Jujuy,Diputado nacional,VOTOS NULOS,VOTOS NULOS,5313
Jujuy,Diputado nacional,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Jujuy,Diputado nacional,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Jujuy,Diputado nacional,VOTOS BLANCO,VOTOS EN BLANCO,54200
Jujuy,Diputado nacional,VOTOS TOTALES,VOTOS TOTALES,442483
La pampa,Diputado nacional,VOTOS NULOS,VOTOS NULOS,2384
La pampa,Diputado nacional,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
La pampa,Diputado nacional,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
La pampa,Diputado nacional,VOTOS BLANCO,VOTOS EN BLANCO,83544
La pampa,Diputado nacional,VOTOS TOTALES,VOTOS TOTALES,208377
La_rioja,Diputado nacional,VOTOS NULOS,VOTOS NULOS,1959
